"","depto","gestion","mes","dia","hora","estacion","numestac","longitud","latitud","altura","precip","temp","tempmed","tempmax","tempmin","humed","humedmedia","humedmax","humedmin","velmedia","velmax","velmin","dirvient","dirvientmed","dirvientmax","dirvientmin","eto","nubo","presion","presionmed","presionmax","presionmin"
"1","Chuquisaca",2020,1,1,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,5.5,NA,NA,19.8,10.1,NA,57,79,46,NA,8,7,NA,NA,4,6,4.16,NA,NA,NA,NA,NA
"2","Chuquisaca",2020,1,2,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,0,NA,NA,18.4,8.8,NA,67,71,60,NA,12,0,NA,NA,16,0,3.96,NA,NA,NA,NA,NA
"3","Chuquisaca",2020,1,3,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,6,NA,NA,18.1,10.5,NA,81,90,68,NA,12,0,NA,NA,16,0,3.6,NA,NA,NA,NA,NA
"4","Chuquisaca",2020,1,4,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,9.8,NA,NA,17.7,9.2,NA,82,98,68,NA,10,4,NA,NA,16,16,3.71,NA,NA,NA,NA,NA
"5","Chuquisaca",2020,1,5,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,18.2,NA,NA,19.3,9,NA,78,95,66,NA,11,0,NA,NA,16,0,4.17,NA,NA,NA,NA,NA
"6","Chuquisaca",2020,1,6,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,0,NA,NA,24,10.1,NA,47,77,26,NA,18,0,NA,NA,1,0,5.29,NA,NA,NA,NA,NA
"7","Chuquisaca",2020,1,7,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,6.2,NA,NA,17.2,11.1,NA,80,88,67,NA,15,8,NA,NA,16,14,3.21,NA,NA,NA,NA,NA
"8","Chuquisaca",2020,1,8,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,0,NA,NA,22.7,10.6,NA,60,88,43,NA,12,4,NA,NA,16,13,4.87,NA,NA,NA,NA,NA
"9","Chuquisaca",2020,1,9,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,0,NA,NA,23.7,11.4,NA,60,89,42,NA,10,4,NA,NA,1,16,5.04,NA,NA,NA,NA,NA
"10","Chuquisaca",2020,1,10,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,0,NA,NA,21.3,12.8,NA,73,82,63,NA,15,8,NA,NA,1,3,4.13,NA,NA,NA,NA,NA
"11","Chuquisaca",2020,1,11,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,2.4,NA,NA,17.1,10.6,NA,79,83,72,NA,10,0,NA,NA,4,0,3.27,NA,NA,NA,NA,NA
"12","Chuquisaca",2020,1,12,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,8.7,NA,NA,20.5,10.1,NA,65,87,53,NA,9,7,NA,NA,1,2,4.33,NA,NA,NA,NA,NA
"13","Chuquisaca",2020,1,13,NA,"Alcantarí_Aeropuerto",10602,-65.149167,-19.238333,3112,0,NA,NA,19.1,11.1,NA,76,86,59,NA,15,0,NA,NA,1,0,3.77,NA,NA,NA,NA,NA
